fugere, fugio, fugi, - (m. Akk.);fliehen (vor),(etw.) meiden
crudelis, crudelis, crudele;grausam
tantus, tanta, tantum;so gro#s,so viele
nefas n. (nur Nom. / Akk. Sg.);der Frevel,das Verbrechen
pernicies, perniciei f.;die Vernichtung,das Verderben
coniunx, coniugis f./m.;die (Ehe-)Frau / der (Ehe-)Mann
quidem;allerdings,zwar
vehemens, Gen. vehementis;heftig
vitare;(ver)meiden
decipere, decipio, decepi, deceptum;t#auschen
et ... et;sowohl ... als auch,einerseits ... andererseits
incendere, incendo, incendi, incensum;anz#unden,entflammen,in Aufregung verstzen
(mea, tua, ...) sponte;freiwillig aus eigenem Antrieb
mandare;auftragen,#ubergeben,anvertrauen
facere, facio, feci, factum (Imp. Sg. fac);machen,(m. doppeltem Akk.) (jmdn.) machen (zu)
